Curriculum,Computer Engineering - Computing Hardware & Emerging Architectures and Devices,,,,,,,,
Institution,Georgia Institure of Techonology,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Wellnes,APPH,10(4/5/6)0,,,,2,,Health
2,Core A - Essential Skills,ENGL,1101,,,,3,,English Composition I
3,Core A - Essential Skills,ENGL,1102,2,,,3,,English Composition II
4,Core A - Essential Skills,MATH,1552,10,,,4,,Integral Calculus 
5,Core B - Institutional Options,CS,1301,,,,3,,Introduction to Computing
6,Core C - Humanities,HUM,XXXX,,,,3,,
7,Core C - Humanities,HUM,XXXX,,,,3,,
8,"Core D - Science, Math, & Technology",PHYS,2211,4,,,4,,Introductory Physics I
9,"Core D - Science, Math, & Technology",PHYS,2212,8,,,4,,Introductory Physics II
10,"Core D - Science, Math, & Technology",MATH,1551,,,,2,,Differential Calculus 
11,"Core D - Science, Math, & Technology",MATH,1554,4,,,4,,Linear Algebra 
12,Core E - Social Sciences,SS,XXXX,,,,3,,
13,Core E - Social Sciences,SS,XXXX,,,,3,,
14,Core E - Social Sciences,SS,XXXX,,,,3,,
15,Core E - Social Sciences,SS,XXXX,,,,3,,
16,Core F,ECE ,1100,,,,1,,ECE Discovery Studio
17,Core F,ECE,2020,,,,3,,Digital System Design 2
18,Core F,ECE,3005,,,,1,,Professional and Technical Communications for ECE
19,Core F,CS,1331,5,,,3,,Introduction to Object Oriented Programming 2
20,Core F,CS,1332,19,,,3,,Data Structures and Algorithms for Applications 2
21,Core F,CS,2050,,,,3,,Introduction to Discrete Mathematics for Computer Science 2
22,Core F,MATH,2550,4;11,,,2,,Introduction to Multivariable Calculus 2
23,Core F,MATH,2552,4;11,,,4,,Differential Equations 2
24,Core F,CHEM,1310,,,,4,,Principles of General Chemistry for Engineers
25,Core F,Ethics,XXXX,,,,3,,Ethics
26,Core F,STAT,XXXX,,,,3,,Probability/Statistics
27,Major Req,ECE,2031,28,,,2,,Digital Design Laboratory 2
28,Major Req,ECE,2035,17,,,4,,Programming for Hardware/Software Systems 2
29,Major Req,ECE,2040,9,,,3,,Circuit Analysis 2
30,Major Req,ECE,3058,27,,,4,,"Architecture, Systems, Concurrency, and Energy in Computation 2"
31,CH & EA,ECE,3150,27;29,,,4,,VLSI and Advanced Digital Design
32,CH & EA,ECE,3030,17;29,,,3,,Physical Foundations of Computer Engineering
33,CH & EA,CH & EA,XXXX,,,,3,,
34,CH & EA,CH & EA,XXXX,,,,3,,
35,CH & EA,CH & EA,XXXX,,,,3,,
36,Devices,CS,2340,19,,,3,,Objects and Design
37,Devices,CS,3251,30,,,3,,Computer Networking I
38,Devices,CS,3510,20;21,,,3,,Design and Analysis of Algorithms
39,Devices,DEV,XXXX,,,,4,,
40,Devices,DEV,XXXX,,,,3,,
41,Capstone,CAP,XXXX,,,,3,,
42,Free Electives,ELEC,XXXX,,,,7,,
